Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW Řada 2,220d Coupe M Sport,990 000 Kč,2022,31750km,neuvedeno,Předváděcí vozidlo,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,kupé,2 dveře,4 místa,modrá,Přístavní 837/85 Ústí nad Labem 40007
BMW Řada 1,128ti Hatch,990 000 Kč,2023,20000km,9/2027,Velmi dobrý,195 kW / 265 PS,1 998 cm³,benzin,aut. převodovka,hatchback,5 dveří,5 míst,světle modrá metalíza,Jindřichova 640/7 Ostrava 70200
BMW Řada 3,M340d xDRIVE Aut CZ,999 000 Kč,5/2021,81160km,5/2025,Velmi dobrý,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,modrá metalíza,Heršpická 788/9 Brno 63900
BMW X5,xDrive30d ČR,994 000 Kč,6/2019,162000km,neuvedeno,neuvedeno,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,modrá metalíza,Za Kličovem 1 Praha 9 19000
BMW X1,sDrive18d,998 000 Kč,10/2024,5km,neuvedeno,Nové vozidlo,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá,Lipová 280 Praha - Čestlice 25101
BMW M4,"Akrapovič,MHDchip,KW podvozek",999 000 Kč,2016,122000km,7/2026,Perfektní,484 kW / 658 PS,2 979 cm³,benzin,manuální převodovka,kupé,5 dveří,4 místa,šedá,"Kounice 365 Kounice, okres Nymburk 28915"
BMW Řada 3,M340d xDrive Touring,999 000 Kč,1/2021,113125km,neuvedeno,Perfektní,250 kW / 340 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,bílá,Lipová 280 Praha - Čestlice 25101
BMW X5,xD 30d REZERVACE,998 000 Kč,4/2020,187576km,5/2026,Velmi dobrý,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,tmavě modrá metalíza,Družstevní 3894/28 Znojmo 66902
BMW Řada 6,640d GT xDrive Mpaket,999 000 Kč,10/2018,72200km,10/2026,Velmi dobrý,235 kW / 320 PS,2 993 cm³,nafta,aut. převodovka,liftback,5 dveří,5 míst,šedá metalíza,Na Dlouhé louce 1730 Č. Budějovice 37011
BMW Řada 4,"430i, Laser,ACC,HUD,Harman",999 000 Kč,3/2021,52153km,3/2025,Velmi dobrý,190 kW / 258 PS,1 998 cm³,benzin,aut. převodovka,kupé,3 dveře,4 místa,modrá metalíza,Hodkovická 135 Liberec 46312
